Site,Room_Type,Temperature_C,Ventilation,Drug_Use_Observed,Fentanyl_Concentration_ug_m3_TWA
D,office,25.6,0,0,0.2578
D,amenity,27.8,0,0,0.0146
D,SRO_unit,17.5,0,0,0.0025
D,SRO_unit,17,0,0,0.0187
D,SRO_unit,28.7,0,0,0.0112
D,office,20.8,0,0,0.0025
D,SRO_unit,22.8,1,0,0.0168
E,SRO_unit,16.3,0,0,0.2022
E,amenity,20.2,0,0,0.0133
E,SRO_unit,21.1,0,0,0.0116
E,SRO_unit,25.1,0,0,1.3797
E,amenity,24.8,1,1,0.0335
E,SRO_unit,27,1,1,0.0339
E,amenity,19.8,0,0,0.0204
E,SRO_unit,24.5,0,0,0.0497
E,SRO_unit,29.1,1,1,0.0516
E,hallway,17.4,0,0,0.3851
E,amenity,28.9,1,1,0.1511
E,SRO_unit,28.8,1,1,0.1926
E,SRO_unit,17.2,0,0,0.0065
E,hallway,21.5,0,0,0.0144
E,office,24.1,1,0,0.0182
E,amenity,22.6,0,0,0.0227
E,SRO_unit,16.2,0,0,0.095
E,SRO_unit,21.9,0,0,0.0209
E,SRO_unit,22.1,0,0,0.015
E,SRO_unit,19.6,0,1,0.1597
E,SRO_unit,23.5,1,0,0.3086
E,hallway,19.7,0,0,0.0426
E,SRO_unit,29.5,1,1,0.6779
E,office,29.4,0,0,0.1312
E,hallway,16.3,0,0,0.2308
E,SRO_unit,29.3,1,0,0.821
E,SRO_unit,18.4,0,1,0.0537
E,hallway,16,0,0,0.0294
E,amenity,16.1,0,0,0.0159
E,SRO_unit,15.5,0,1,0.308
E,office,20.2,0,0,0.0066
E,SRO_unit,20.8,0,0,0.0364
E,SRO_unit,16.3,0,0,0.0025
E,SRO_unit,26.3,1,0,0.043
E,SRO_unit,19.3,1,1,0.211
E,SRO_unit,29.7,1,0,0.0071
E,hallway,28.2,1,1,0.094
E,amenity,16.8,0,0,0.1
E,SRO_unit,19.8,0,1,3.3126
E,SRO_unit,22,0,0,1.6515
